"","weeknr","area","year","fit","lower","upper"
"38",38,2,2016,55.6735066696138,52.4191671063499,59.1298854215496
"39",39,2,2016,54.9393374434152,51.8968746709256,58.1601650939572
"40",40,2,2016,61.0844797812851,57.8542326448724,64.4950853130179
"41",41,2,2016,65.8578651241089,61.9298251601093,70.0350499535894
"42",42,2,2016,61.3705869286894,58.0980822401227,64.8274227780064
"43",43,2,2016,52.359732615453,49.3910266921099,55.5068761103459
"44",44,2,2016,45.5557772033761,42.7409565981019,48.5559753872193
"45",45,2,2016,42.7632169887309,40.3385561470013,45.3336187978863
"46",46,2,2016,40.9845238152033,38.2437496471975,43.9217181331502
"47",47,2,2016,37.4872495266354,34.9355714033151,40.2253010505754
"48",48,2,2016,32.45277717661,30.24120333798,34.826085943214
"49",49,2,2016,28.0957540534836,25.7778822124987,30.6220421571755
"50",50,2,2016,25.6236416931932,23.4998770469176,27.9393382488897
"51",51,2,2016,24.5193264810585,22.0803577347791,27.227700669803
"52",52,2,2016,23.7963468955679,21.0002758719372,26.9646993700168
"53",1,6,2016,21.3663589665062,19.8876023988941,22.955069511596
"54",2,6,2016,23.0357249135543,21.5048816736351,24.6755425277933
"55",3,6,2016,23.7442902307137,22.0561157799025,25.5616775041639
"56",4,6,2016,22.3743275901341,20.8589632931336,23.9997802419753
"57",5,6,2016,19.4914557939073,17.9198243125734,21.2009248717508
"58",6,6,2016,15.9962321018969,14.7005951300292,17.4060600400503
"59",7,6,2016,12.9816171206408,12.0045105673298,14.0382552142982
"60",8,6,2016,11.2425314711255,10.2813386582747,12.2935853083219
"61",9,6,2016,11.0880405663772,10.2258519295523,12.0229242950723
"62",10,6,2016,12.1028563124741,11.2761316689636,12.990193376649
"63",11,6,2016,13.6078662981175,12.6179591895593,14.6754338324904
"64",12,6,2016,14.8980431223164,13.951008815489,15.9093648215589
"65",13,6,2016,15.8436405528905,14.8328014911391,16.9233671817931
"66",14,6,2016,16.5139759297615,15.4186799066356,17.6870784438152
"67",15,6,2016,16.8736617698926,15.8947147155108,17.9129016544658
"68",16,6,2016,16.666877247675,15.5907027364716,17.8173365167972
"69",17,6,2016,15.7077361774414,14.7049023561455,16.7789605020387
"70",18,6,2016,14.4558401983728,13.5921019861969,15.3744664403716
"71",19,6,2016,13.6929106941892,12.7615761356573,14.6922136643573
"72",20,6,2016,13.957884330321,13.0888816533778,14.8845822078577
"73",21,6,2016,15.1112649443405,14.2071879486389,16.0728730445163
"74",22,6,2016,16.7592830305389,15.67237702852,17.9215678123737
"75",23,6,2016,18.4457656684694,17.4141404056409,19.5385050981828
"76",24,6,2016,19.7726072988464,18.6453671079019,20.9679968826524
"77",25,6,2016,20.3171815811062,19.1236661856506,21.5851847335306
"78",26,6,2016,20.2253369151514,19.1866459634579,21.3202585856054
"79",27,6,2016,20.4639987523937,19.3006974199791,21.6974151672092
"80",28,6,2016,22.0381183416914,20.8291157710919,23.317296105121
"81",29,6,2016,24.8665861989221,23.6116070097252,26.1882687160486
"82",30,6,2016,27.6988279129504,26.128892306113,29.3630919658902
"83",31,6,2016,29.1675837677096,27.6733763386081,30.7424700346176
"84",32,6,2016,30.5531247322282,29.005814216022,32.1829762802335
"85",33,6,2016,34.5919582354342,32.6833784056584,36.6119915667854
"86",34,6,2016,43.457457647209,41.3428363854738,45.6802384710723
"87",35,6,2016,53.9213876472765,51.123902225489,56.8719506774711
"88",36,6,2016,57.7311846010946,54.6839256497995,60.9482519011121
"89",37,6,2016,52.4355231231932,49.9365099363543,55.0595964497166
"90",38,6,2016,45.9235431366509,43.438986508503,48.5502076299827
"91",39,6,2016,43.9510889943829,41.6866494871815,46.3385339804331
"92",40,6,2016,45.7450546943362,43.5019782867544,48.1037900206248
"93",41,6,2016,47.5717129082001,44.9423902936589,50.3548621742871
"94",42,6,2016,46.2283811248967,43.930814290927,48.6461099326828
"95",43,6,2016,42.9113614032855,40.735886000538,45.20301675675
"96",44,6,2016,39.9150740046695,37.738243704132,42.2174689762736
"97",45,6,2016,38.1487090279062,36.2796812528538,40.1140238899253
"98",46,6,2016,36.5581541079853,34.5601358658606,38.6716833802563
"99",47,6,2016,34.0862259819918,32.2200780886726,36.0604589007463
"100",48,6,2016,30.655523841331,29.0462208586715,32.3539900959562
"101",49,6,2016,26.9772065516932,25.3122010131286,28.7517341125433
"102",50,6,2016,23.6287162494635,22.2228369166575,25.1235354735095
"103",51,6,2016,21.2547219594544,19.7971616834472,22.8195946872243
"104",52,6,2016,20.4164721414537,18.7589509272573,22.220450190372
"105",1,7,2016,22.0339783477124,20.0468888894517,24.2180322595051
"106",2,7,2016,20.6724714677038,18.9792639001684,22.5167360984552
"107",3,7,2016,19.5401637337549,18.0159281369244,21.1933571137752
"108",4,7,2016,18.6133605636876,17.2571853230419,20.0761123548491
"109",5,7,2016,17.8770605170155,16.5512702689187,19.3090492473671
"110",6,7,2016,17.3239489894374,16.0671119324202,18.6791011260118
"111",7,7,2016,17.0150324113259,15.8529563762133,18.2622926025879
"112",8,7,2016,17.0746078818569,15.8798696911313,18.3592334187725
"113",9,7,2016,17.6139601776135,16.4405614061905,18.87110698189
"114",10,7,2016,18.4981619978955,17.3014352276338,19.7776654247651
"115",11,7,2016,19.4431722148346,18.1378470467357,20.8424376278856
"116",12,7,2016,20.1539593200561,18.8545625974621,21.542906348257
"117",13,7,2016,20.4608684800055,19.0953233630777,21.9240664845494
"118",14,7,2016,20.2410356227697,18.8517624429641,21.7326907402836
"119",15,7,2016,19.4948058398976,18.200371199743,20.8813023956716
"120",16,7,2016,18.3921949995065,17.0798266038688,19.8054022880564
"121",17,7,2016,17.1174876978571,15.8341146347824,18.5048796124442
"122",18,7,2016,15.9079521701248,14.6269926696662,17.3010917529058
"123",19,7,2016,15.0048766812326,13.6404448998652,16.505790380871
"124",20,7,2016,14.5650150603036,13.1789658599985,16.096836880864
"125",21,7,2016,14.5102486689081,13.036075494018,16.1511274255942
"126",22,7,2016,14.699032919071,13.0741860039745,16.5258142029074
"127",23,7,2016,15.03143844984,13.2847525223577,17.007779519496
"128",24,7,2016,15.4975862867074,13.5465543776777,17.7296140419077
"129",25,7,2016,16.1062927427569,13.9559834117693,18.587917329897
"130",26,7,2016,16.8483556992803,14.5423729459394,19.5199979277615
"131",27,7,2016,17.6819538623479,15.164951177054,20.6167160540069
"132",28,7,2016,18.5623163047142,15.8935253955634,21.6792422084304
"133",29,7,2016,19.5519846474833,16.7405555075901,22.8355685975951
"134",30,7,2016,20.815258951722,17.7748600286832,24.3757196696947
"135",31,7,2016,22.5302682822262,19.2906270806753,26.3139703414617
"136",32,7,2016,24.7351527443475,21.2358617446451,28.8110644457593
"137",33,7,2016,27.4011101816947,23.6202145487772,31.7872150415435
"138",34,7,2016,30.438454069061,26.5469163819108,34.900455962021
"139",35,7,2016,33.6089458341548,29.5798291718196,38.186875033047
"140",36,7,2016,36.5528151282696,32.4560640259671,41.1666766719612
"141",37,7,2016,38.963476935391,34.9525614582785,43.4346574773042
"142",38,7,2016,40.7091995391154,36.6082263325329,45.2695771726795
"143",39,7,2016,41.7140034356589,37.6098680422045,46.2659980800126
"144",40,7,2016,42.0454072365408,37.9074116228983,46.6351089141283
"145",41,7,2016,41.8729505550413,37.5846393132438,46.6505471443251
"146",42,7,2016,41.356186730249,37.200611350682,45.9759697157737
"147",43,7,2016,40.5156170431119,36.4592137923023,45.0233302817593
"148",44,7,2016,39.3383186713758,35.4198641885916,43.6902667850756
"149",45,7,2016,37.8401850184716,34.3208310535957,41.7204233777476
"150",46,7,2016,36.0822206295368,32.7931712294796,39.701151085632
"151",47,7,2016,34.1308627808156,31.0555540461205,37.5107071808428
"152",48,7,2016,32.0447945063282,29.1767237547405,35.1947964954756
"153",49,7,2016,29.873903996149,27.0269969982207,33.0206918670942
"154",50,7,2016,27.6725498217005,24.9872899998385,30.6463811657625
"155",51,7,2016,25.5591681295824,23.0433114422859,28.3497047337331
"156",52,7,2016,23.6566377577746,21.3018801394964,26.2716955657322
"157",1,8,2016,26.9274611392037,23.4291713208617,30.9480925924894
"158",2,8,2016,24.5677624058745,21.6156128881299,27.9231013598948
"159",3,8,2016,22.4958275884601,19.9337969341615,25.3871482969941
"160",4,8,2016,20.7116923824877,18.460214344631,23.2377692554562
"161",5,8,2016,19.2532874015142,17.1306663238917,21.6389175270034
"162",6,8,2016,18.1489149236064,16.1341588957253,20.4152639770748
"163",7,8,2016,17.4019895105576,15.4804934333379,19.5619887847633
"164",8,8,2016,17.0057710571141,15.0843025019772,19.1720001113127
"165",9,8,2016,16.9543569304774,15.0672216955161,19.0778515598247
"166",10,8,2016,17.144168729375,15.2415738477211,19.2842631842265
"167",11,8,2016,17.4257166029845,15.4305842007845,19.6788141768534
"168",12,8,2016,17.6659469155134,15.6155532316653,19.9855666841755
"169",13,8,2016,17.8021458537668,15.6373904210361,20.2665782759032
"170",14,8,2016,17.7879249319862,15.5338682266393,20.3690586767925
"171",15,8,2016,17.6054170331043,15.3392284300165,20.2064080552443
"172",16,8,2016,17.2821164363403,14.9542392046222,19.9723666602116
"173",17,8,2016,16.8550760727801,14.4874183910891,19.6096766000729
"174",18,8,2016,16.4218348121711,13.9900006567905,19.2763864144165
"175",19,8,2016,16.1198914156987,13.5421210551073,19.188345621524
"176",20,8,2016,16.0609428885246,13.3384169604665,19.3391680011949
"177",21,8,2016,16.2389898055595,13.3162173213069,19.8032807322181
"178",22,8,2016,16.6081188152147,13.4487485843777,20.5096860016178
"179",23,8,2016,17.1350972532997,13.7723035799792,21.3189867747949
"180",24,8,2016,17.8152297185185,14.2031900163865,22.3458539636107
"181",25,8,2016,18.6507381215652,14.771638558388,23.5485068974749
"182",26,8,2016,19.6435699527748,15.4979674541301,24.8980933552499
"183",27,8,2016,20.7934624605415,16.3193452816482,26.4942051066328
"184",28,8,2016,22.0984764153009,17.3056753684761,28.2186421205596
"185",29,8,2016,23.5468199221379,18.401333131408,30.1311173753618
"186",30,8,2016,25.1154771817188,19.4893326945813,32.3657666453003
"187",31,8,2016,26.7802399135889,20.574972434842,34.8569725719241
"188",32,8,2016,28.5526257981341,21.5711560777374,37.7936368839155
"189",33,8,2016,30.4620774160223,22.5230071558005,41.1995678055253
"190",34,8,2016,32.5328098191023,23.5555032331371,44.9314839190947
"191",35,8,2016,34.7620089238144,24.6532854544853,49.015668384252
"192",36,8,2016,37.1377737608784,25.9477962411916,53.1534249419114
"193",37,8,2016,39.6260326114396,27.4938054306895,57.1118634152456
"194",38,8,2016,42.1602583688477,29.2005165839977,60.871778778807
"195",39,8,2016,44.6562136397306,31.1292599808795,64.061189307492
"196",40,8,2016,47.0213929036752,33.1805769280294,66.6357126760516
"197",41,8,2016,49.1555872350571,35.2081896300477,68.6281169754093
"198",42,8,2016,50.9222309114314,37.2036068128249,69.6995217168904
"199",43,8,2016,52.0457797768567,38.8151594381268,69.7862183691134
"200",44,8,2016,52.2124527313727,39.7674223681879,68.552097618643
"201",45,8,2016,51.2456459539981,39.9687942208704,65.7041644721733
"202",46,8,2016,49.2479115390031,39.2250534352329,61.8318288580063
"203",47,8,2016,46.4067876539073,37.7209719032257,57.0926418831398
"204",48,8,2016,43.0158973159169,35.6541435132193,51.8976825570766
"205",49,8,2016,39.4232515409957,33.0906192338372,46.967775099094
"206",50,8,2016,35.9036579128248,30.4547842614697,42.3274267994744
"207",51,8,2016,32.6048425421521,27.8615670027412,38.1556341426861
"208",52,8,2016,29.6010682132199,25.4341635246322,34.4506411038486
